iter	Passed	Remaining
900	1505	165
901	1506	163
902	1508	162
903	1509	160
904	1510	158
905	1512	156
906	1513	155
907	1515	153
908	1516	151
909	1518	150
910	1519	148
911	1520	146
912	1521	145
913	1523	143
914	1524	141
915	1525	139
916	1527	138
917	1528	136
918	1530	134
919	1531	133
920	1533	131
921	1534	129
922	1535	128
923	1536	126
924	1537	124
925	1539	122
926	1540	121
927	1542	119
928	1544	118
929	1545	116
930	1547	114
931	1549	113
932	1550	111
933	1552	109
934	1553	108
935	1555	106
936	1556	104
937	1557	102
938	1559	101
939	1560	99
940	1562	97
941	1563	96
942	1564	94
943	1565	92
944	1567	91
945	1569	89
946	1570	87
947	1571	86
948	1573	84
949	1574	82
950	1576	81
951	1577	79
952	1579	77
953	1580	76
954	1582	74
955	1583	72
956	1585	71
957	1586	69
958	1588	67
959	1590	66
960	1591	64
961	1593	62
962	1595	61
963	1596	59
964	1598	57
965	1599	56
966	1601	54
967	1602	52
968	1604	51
969	1606	49
970	1607	48
971	1609	46
972	1610	44
973	1612	43
974	1614	41
975	1616	39
976	1617	38
977	1619	36
978	1620	34
979	1623	33
980	1624	31
981	1626	29
982	1628	28
983	1630	26
984	1631	24
985	1633	23
986	1634	21
987	1636	19
988	1638	18
989	1640	16
990	1642	14
991	1643	13
992	1645	11
993	1647	9
994	1649	8
995	1650	6
996	1652	4
997	1653	3
998	1655	1
999	1656	0
